"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE"
"EL ENCANTO","Amazonas",16,56,23,91,18,3,3,4,746,214,"91263"
"LA CHORRERA","Amazonas",18,138,23,300,14,4,4,8,1038,509,"91405"
"LA PEDRERA","Amazonas",12,32,12,66,2,0,0,0,1042,124,"91407"
"LA VICTORIA","Amazonas",2,2,0,0,0,2,0,0,23,6,"91430"
"LETICIA","Amazonas",1568,3875,1183,3123,686,394,46,208,31335,11083,"91001"
"MIRITI PARANA","Amazonas",8,3,8,22,6,3,0,1,459,51,"91460"
"PUERTO ALEGRIA","Amazonas",2,5,6,46,3,1,0,0,277,63,"91530"
"PUERTO ARICA","Amazonas",5,11,17,82,12,3,1,1,403,132,"91536"
"PUERTO NARIÃO","Amazonas",147,224,124,865,83,22,17,23,4014,1505,"91540"
"PUERTO SANTANDER","Amazonas",9,41,17,42,3,5,1,1,654,119,"91669"
"TARAPACA","Amazonas",23,71,33,213,9,6,2,7,1322,364,"91798"
"ABEJORRAL","Antioquia",318,3018,499,576,86,184,50,96,14939,4827,"5002"
"ABRIAQUI","Antioquia",15,289,135,210,12,20,16,12,1903,709,"5004"
"ALEJANDRIA","Antioquia",57,502,145,786,32,154,30,14,4377,1720,"5021"
"AMAGA","Antioquia",811,2471,1555,1430,312,509,50,269,20893,7407,"5030"
"AMALFI","Antioquia",569,1699,621,383,184,315,32,93,15588,3896,"5031"
"ANDES","Antioquia",937,6083,1885,1317,326,594,57,218,32918,11417,"5034"
"ANGELOPOLIS","Antioquia",156,746,348,256,84,98,16,38,5466,1742,"5036"
"ANGOSTURA","Antioquia",226,1123,390,551,125,175,73,143,8632,2806,"5038"
"ANORI","Antioquia",174,467,345,702,79,104,22,27,10215,1920,"5040"
"ANTIOQUIA","Antioquia",847,2517,1066,1857,268,621,87,304,18537,7567,"5042"
"ANZA","Antioquia",88,996,149,377,42,88,23,39,5322,1802,"5044"
"APARTADO","Antioquia",2139,8283,3474,12135,1456,2269,443,518,82208,30717,"5045"
"ARBOLETES","Antioquia",173,2129,298,4755,77,165,59,144,21371,7800,"5051"
"ARGELIA","Antioquia",25,1834,80,278,36,105,27,30,6489,2415,"5055"
"ARMENIA","Antioquia",60,605,259,313,34,86,14,45,4831,1416,"5059"
"BARBOSA","Antioquia",2118,4797,2957,2117,667,977,92,544,35505,14269,"5079"
"BELLO","Antioquia",21810,35140,26189,15089,7616,10251,308,3771,296790,120174,"5088"
"BELMIRA","Antioquia",115,556,335,479,56,111,15,62,4470,1729,"5086"
"BETANIA","Antioquia",74,1767,185,301,49,106,20,39,8241,2541,"5091"
"BETULIA","Antioquia",98,2936,446,637,80,185,50,82,12791,4514,"5093"
"BOLIVAR","Antioquia",526,3760,1790,960,219,376,49,154,23204,7834,"5101"
"BRICEÃO","Antioquia",57,293,259,235,44,60,10,37,5819,995,"5107"
"BURITICA","Antioquia",84,633,273,393,57,105,23,83,6429,1651,"5113"
"CACERES","Antioquia",448,1079,520,2470,264,286,251,112,19416,5430,"5120"
"CAICEDO","Antioquia",97,1405,183,316,38,115,44,65,5784,2263,"5125"
"CALDAS","Antioquia",4358,6620,6405,3978,1612,2781,115,1200,56075,27069,"5129"
"CAMPAMENTO","Antioquia",175,261,192,603,53,76,20,29,5911,1409,"5134"
"CAÃASGORDAS","Antioquia",203,2960,596,1702,105,241,66,128,12735,6001,"5138"
"CARACOLI","Antioquia",109,370,234,368,94,49,13,24,4639,1261,"5142"
"CARAMANTA","Antioquia",97,914,194,666,47,75,33,49,5141,2075,"5145"
"CAREPA","Antioquia",779,4070,1572,4860,459,754,68,174,38452,12736,"5147"
"CARMEN DE VIBORAL","Antioquia",3849,5528,3350,1588,1094,1089,96,595,30575,17189,"5148"
"CAROLINA","Antioquia",99,367,322,279,84,115,6,52,4034,1324,"5150"
"CAUCASIA","Antioquia",3817,5004,3283,5831,1229,1294,119,624,60554,21201,"5154"
"CHIGORODO","Antioquia",1115,3378,1573,6415,447,867,189,250,41610,14234,"5172"
"CISNEROS","Antioquia",422,989,756,1292,117,250,46,117,11126,3989,"5190"
"COCORNA","Antioquia",246,2680,398,1773,91,184,74,87,12475,5533,"5197"
"CONCEPCION","Antioquia",65,806,405,356,27,86,25,37,4452,1807,"5206"
"CONCORDIA","Antioquia",229,3339,413,633,136,276,123,125,15381,5274,"5209"
"COPACABANA","Antioquia",5173,6629,5632,3064,1244,2059,232,893,56567,24926,"5212"
"DABEIBA","Antioquia",228,1267,214,1865,67,196,40,92,15863,3969,"5234"
"DON MATIAS","Antioquia",540,3676,1046,377,310,561,53,159,15845,6722,"5237"
"EBEJICO","Antioquia",149,2077,361,946,91,260,43,88,11122,4015,"5240"
"EL BAGRE","Antioquia",919,1935,1821,1238,614,490,30,218,33331,7265,"5250"
"ENTRERRIOS","Antioquia",269,1236,616,345,134,290,16,73,7480,2979,"5264"
